date,product,store,sales
2022-05-15,LG,Target,
2022-05-15,iPhone,Apple Store,
2022-05-22,iPhone,Amazon,316.0
2022-05-22,Motorola,Target,523.0
2022-05-22,iPhone,Best Buy,616.0
2022-05-22,Motorola,Apple Store,700.0
2022-05-22,LG,Apple Store,215.0
2022-05-22,iPhone,Best Buy,529.0
2022-05-22,Samsung Galaxy,Amazon,857.0
2022-05-29,LG,Target,720.0
2022-05-29,LG,Apple Store,830.0
2022-06-05,Google Pixel,Best Buy,130.0
2022-06-05,LG,Amazon,116.0
2022-06-11,iPhone,Amazon,628.0
2022-06-18,Motorola,Best Buy,608.0
2022-06-18,LG,Apple Store,920.0
2022-06-25,LG,Apple Store,208.0
2022-06-25,Google Pixel,Best Buy,721.0
2022-07-02,iPhone,Best Buy,458.0
2022-07-02,iPhone,Target,911.0
2022-07-02,Samsung Galaxy,Target,190.0
2022-07-02,Motorola,Walmart,698.0
2022-07-02,Motorola,Apple Store,553.0
2022-07-02,LG,Walmart,726.0
2022-07-08,Google Pixel,Walmart,364.0
2022-07-08,Motorola,Apple Store,748.0
2022-07-08,LG,Amazon,258.0
2022-07-08,Samsung Galaxy,Apple Store,312.0
2022-07-08,Motorola,Walmart,764.0
2022-07-08,Google Pixel,Amazon,347.0
2022-07-08,Google Pixel,Walmart,736.0
2022-07-08,iPhone,Apple Store,967.0
2022-07-15,Samsung Galaxy,Target,953.0
2022-07-15,iPhone,Walmart,630.0
2022-07-15,iPhone,Target,292.0
2022-07-15,Motorola,Target,
2022-07-15,LG,Target,655.0
2022-07-15,LG,Best Buy,768.0
2022-07-22,Google Pixel,Apple Store,929.0
2022-07-28,Motorola,Amazon,576.0
2022-07-28,Samsung Galaxy,Apple Store,940.0
2022-07-28,LG,Best Buy,
2022-07-28,Motorola,Amazon,819.0
2022-08-04,iPhone,Walmart,230.0
2022-08-04,Samsung Galaxy,Target,
2022-08-04,Google Pixel,Best Buy,701.0
2022-08-04,Motorola,Target,227.0
2022-08-04,Google Pixel,Apple Store,122.0
2022-08-04,LG,Walmart,294.0
2022-08-04,iPhone,Best Buy,
2022-08-04,LG,Apple Store,592.0
2022-08-04,Google Pixel,Best Buy,624.0
2022-08-11,iPhone,Target,802.0
2022-08-11,LG,Best Buy,803.0
2022-08-11,Samsung Galaxy,Walmart,638.0
2022-08-11,Motorola,Amazon,635.0
2022-08-11,Motorola,Amazon,600.0
2022-08-11,Motorola,Amazon,600.0
2022-08-11,Google Pixel,Apple Store,
2022-08-11,Samsung Galaxy,Walmart,938.0
2022-08-18,iPhone,Best Buy,562.0
2022-08-24,Motorola,Best Buy,547.0
2022-08-24,LG,Walmart,906.0
2022-08-24,Google Pixel,Best Buy,756.0
2022-08-24,LG,Apple Store,577.0
2022-08-24,Motorola,Target,612.0
2022-08-31,Motorola,Walmart,683.0
2022-08-31,Motorola,Walmart,683.0
2022-08-31,LG,Best Buy,311.0
2022-08-31,Google Pixel,Target,
2022-08-31,Motorola,Amazon,317.0
2022-08-31,iPhone,Apple Store,248.0
2022-08-31,Google Pixel,Target,757.0
2022-08-31,Google Pixel,Target,970.0
2022-09-07,Motorola,Amazon,567.0
2022-09-07,Motorola,Best Buy,
2022-09-14,LG,Walmart,585.0
2022-09-14,LG,Walmart,585.0
2022-09-14,Google Pixel,Best Buy,241.0
2022-09-14,Google Pixel,Best Buy,
2022-09-14,Samsung Galaxy,Target,416.0
2022-09-14,Motorola,Amazon,543.0
2022-09-14,Motorola,Walmart,634.0
2022-09-14,iPhone,Best Buy,389.0
2022-09-14,LG,Walmart,784.0
2022-09-20,iPhone,Walmart,821.0
2022-09-27,iPhone,Target,613.0
2022-09-27,Motorola,Amazon,
2022-09-27,iPhone,Best Buy,853.0
2022-09-27,Motorola,Target,
2022-09-27,iPhone,Target,148.0
2022-09-27,iPhone,Apple Store,536.0
2022-10-04,iPhone,Walmart,340.0
2022-10-04,Motorola,Target,957.0
2022-10-04,Google Pixel,Best Buy,481.0
2022-10-11,iPhone,Apple Store,787.0
2022-10-17,Samsung Galaxy,Target,673.0
2022-10-24,Samsung Galaxy,Target,111.0
2022-10-24,Google Pixel,Amazon,490.0
2022-10-24,Google Pixel,Amazon,501.0
2022-10-24,LG,Walmart,566.0
2022-10-24,LG,Walmart,739.0
2022-10-24,Motorola,Walmart,390.0
2022-10-31,Samsung Galaxy,Apple Store,244.0
2022-10-31,iPhone,Amazon,713.0
2022-10-31,Motorola,Apple Store,480.0
2022-10-31,LG,Target,748.0
2022-10-31,Samsung Galaxy,Target,990.0
2022-11-07,Samsung Galaxy,Best Buy,811.0
2022-11-07,Samsung Galaxy,Best Buy,544.0
2022-11-07,Samsung Galaxy,Target,632.0
2022-11-07,LG,Apple Store,869.0
2022-11-07,Google Pixel,Amazon,969.0
2022-11-07,Google Pixel,Amazon,610.0
2022-11-07,Samsung Galaxy,Best Buy,570.0
2022-11-07,Google Pixel,Amazon,875.0
2022-11-13,Samsung Galaxy,Apple Store,609.0
2022-11-13,Samsung Galaxy,Walmart,833.0
2022-11-13,Motorola,Amazon,769.0
2022-11-13,LG,Apple Store,966.0
2022-11-20,Google Pixel,Apple Store,742.0
2022-11-27,LG,Apple Store,402.0
2022-11-27,iPhone,Apple Store,407.0
2022-11-27,Motorola,Apple Store,856.0
2022-11-27,LG,Amazon,840.0
2022-11-27,iPhone,Best Buy,624.0
2022-11-27,LG,Amazon,416.0
2022-12-04,Samsung Galaxy,Walmart,865.0
2022-12-04,iPhone,Walmart,
2022-12-04,iPhone,Amazon,562.0
2022-12-04,Google Pixel,Target,562.0
2022-12-04,iPhone,Best Buy,129.0
2022-12-04,Samsung Galaxy,Best Buy,479.0
2022-12-04,Samsung Galaxy,Best Buy,479.0
2022-12-04,iPhone,Target,744.0
2022-12-04,LG,Target,400.0
2022-12-10,Google Pixel,Amazon,180.0
2022-12-10,Samsung Galaxy,Target,689.0
2022-12-10,Google Pixel,Walmart,260.0
2022-12-10,Google Pixel,Apple Store,824.0
2022-12-10,LG,Apple Store,351.0
2022-12-10,iPhone,Apple Store,102.0
2022-12-10,iPhone,Target,155.0
2022-12-17,Google Pixel,Best Buy,922.0
2022-12-17,Google Pixel,Best Buy,922.0
2022-12-17,Google Pixel,Amazon,793.0
2022-12-17,Motorola,Apple Store,
2022-12-24,Motorola,Walmart,461.0
2022-12-24,Samsung Galaxy,Target,525.0
2022-12-24,iPhone,Best Buy,494.0
2022-12-24,LG,Apple Store,196.0
2022-12-24,Motorola,Target,955.0
2022-12-31,iPhone,Apple Store,224.0
2022-12-31,Samsung Galaxy,Walmart,444.0
2022-12-31,Samsung Galaxy,Target,230.0
2022-12-31,iPhone,Walmart,493.0
